equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk,sunk but raised by Russia
Reconnaissance Unmanned Aerial Vehicles,Orlik,,Czech Republic,2,,,,1.0,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Primoco One 150,,Czech Republic,1,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,FlyEye,,Poland,4,,,,1.0,,,,,,3.0,,,
Reconnaissance Unmanned Aerial Vehicles,Penguin C,,Latvia,2,,,,2.0,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Poseidon H10,,Cyprus,1,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,EOS-C VTOL,,Estonia,1,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Bayraktar Mini,,Turkey,2,,,,1.0,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,AeroVironment RQ-20 Puma,,United States,12,,,,8.0,,1.0,,,,3.0,,,
Reconnaissance Unmanned Aerial Vehicles,AeroVironment Quantix Recon UAV,,United States,1,,,,1.0,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Boeing Insitu ScanEagle 2,,United States,2,,,,1.0,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Malloy Aeronautics T150 cargo UAV,,United Kingdom,3,,,,3.0,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Ukraine,3,,,,1.0,,,,,,2.0,,,
Naval Ships,Krivak III-class frigate,'Hetman Sahaydachniy',Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships,Gyurza-M-class gunboat,,Ukraine,1,,,,,,1.0,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Akkerman 'P174',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Kremenchuk 'P177',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Gyurza-M-class gunboat,Lubny 'P178',Ukraine,1,,,,,,,,,,,,,1.0
Naval Ships,Gyurza-M-class gunboat,Vyshhorod 'P179',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Island-class patrol boat,P190 'Slovyansk',United States,1,,,,,,,,,,,,1.0,
Naval Ships,Stenka-class patrol boat (Operated by Sea Guard),BG-32 'Donbass',Soviet Union,1,,,,,,,,,,,,1.0,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 108',Soviet Union,1,,,,,,,,,,1.0,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 118',Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Zhuk-class patrol boat (Sea Guard),unknown ID,Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Sorum-class seagoing tugboat,A830 or P186 'Korets',Soviet Union,1,,,,1.0,,,,,,,,,
Naval Ships,Project 376 Yaroslavets-class general purpose tugboat,,Soviet Union,1,,,,,,,,,,1.0,,,
Naval Ships,Project 1258 Yevgenya-class minesweeper,'Henichesk',Soviet Union,1,,,,,,,,,,,,1.0,
Naval Ships,Pr.304 Amur-class command ship,U-500 'Donbas',Poland,1,,,,,,,,,,1.0,,,
Naval Ships,Project 58181 Centaur-class fast assault boat,'DSHK-1 Stanislav',Ukraine,1,,,,,,,,,,,,1.0,
Naval Ships,UMS-600 patrol boat (Sea Guard),'BG 721',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 14',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 22',Ukraine,1,,,,,,,,1.0,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 23',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 24',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,UMS-1000 patrol boat (Sea Guard),'BG 25',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 308',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 309',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 310',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Project 50030 Kalkan-class patrol boat (Sea Guard),'BG 311',Ukraine,1,,,,1.0,,,,,,,,,
Naval Ships,Unknown patrol boat (Sea Guard),unknown ID,Ukraine,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles, and Jeeps",KrAZ-214,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",KrAZ-255B,,Soviet Union,16,,,,3.0,,,,,,13.0,,,
"Trucks, Vehicles, and Jeeps",KrAZ-260,,Soviet Union,3,,,,3.0,,,,,,,,,
"Trucks, Vehicles, and Jeeps",KrAZ-6322,,Ukraine,42,,,,13.0,,,,,,29.0,,,
"Trucks, Vehicles, and Jeeps",KrAZ-6322 Raptor,,Ukraine,8,,,,5.0,,,,,,3.0,,,
"Trucks, Vehicles, and Jeeps",KrAZ-6446,,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",KrAZ-5233,,Ukraine,34,,,,17.0,,1.0,,1.0,,15.0,,,
"Trucks, Vehicles, and Jeeps",ATs-10-260 Fuel Tanker,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Bogdan-5316,,Ukraine,9,,,,,,1.0,,,,8.0,,,
"Trucks, Vehicles, and Jeeps",Bogdan-63172,,Ukraine,30,,2.0,,3.0,,2.0,,,,23.0,,,
"Trucks, Vehicles, and Jeeps",Bogdan-63172 'Kozak',,Ukraine,3,,,,1.0,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",9T217 transloader (for 9K33 Osa),,Soviet Union,4,,,,,,,,,,4.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-53,,Soviet Union,2,,,,2.0,,,,,,,,,
"Trucks, Vehicles, and Jeeps",GAZ-63,,Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-66,,Soviet Union,103,0.0,1.0,,28.0,,2.0,2.0,2.0,,68.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-66,with 23mm ZU-23,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-66,with 82mm 2B9 Vasilek mortar,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-66,with ZU-23 AA gun,Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-66 tanker,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-3308,,Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",GAZ-3308 tanker,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-130,,Soviet Union,7,,,,1.0,,,,,,6.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-130,with ZU-23 AA gun,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-130 tanker,,Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-131,,Soviet Union,136,,1.0,,43.0,,1.0,,2.0,,89.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-131,with ZU-23 AA gun,Soviet Union,6,,,,2.0,,,,,,4.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-131,with ZU-23-2 cannon,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-131 tanker,,Soviet Union,6,,1.0,,1.0,,1.0,,,,3.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-157,,Soviet Union,2,,,,2.0,,,,,,,,,
"Trucks, Vehicles, and Jeeps",ZiL-181,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",ZiL-4331,,Soviet Union,1,,,,1.0,,,,,,,,,
"Trucks, Vehicles, and Jeeps",Ural-375D,,Soviet Union,10,,,,7.0,,,,,,3.0,,,
"Trucks, Vehicles, and Jeeps",Ural-4320,,Soviet Union,51,,,,9.0,,1.0,,1.0,,40.0,,,
"Trucks, Vehicles, and Jeeps",Ural-4320,with ZU-23 AA gun,Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Ural tanker,,Soviet Union,15,,,,7.0,,2.0,,,,6.0,,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6,,Soviet Union,22,,,,6.0,,1.0,,2.0,,13.0,,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,,Soviet Union,2,,,,1.0,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-537,,Soviet Union,3,,,,1.0,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",MAZ AC-8-500A Tanker,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-5336,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",MAZ-5337 fuel tanker,,Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",MAZ TZ-500 tanker,,Soviet Union,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",FMTV M1083A1P2,,United States,9,,,,,,,1.0,,,8.0,,,
"Trucks, Vehicles, and Jeeps",Jelcz P882 D53,,Poland,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Mercedes-Benz Unimog U1300L ambulance,,Germany,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Pinzgauer Vector 718,,United Kingdom,3,,,,,,2.0,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Land Rover Defender,,United Kingdom,5,,,,,,,,,,5.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,,Soviet Union,13,,,,6.0,,,2.0,,,5.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-31514,,Soviet Union,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",UAZ-452 van,,Soviet Union,34,,,,2.0,,1.0,1.0,,,30.0,,,
"Trucks, Vehicles, and Jeeps",Armoured Volkswagen Amarok pickup truck,,Germany,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, and Jeeps",Bogdan-2251 ambulance pickup truck,,Ukraine,16,,,,4.0,,,,,,12.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with KPV HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with M2 HMG,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed pickup truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Armed tactical buggy,with ATGM,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Ford Ranger,,United States,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, and Jeeps",Peugeot P4,,France,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",DAF YAD 4442 NT,,Netherlands,2,,,,,,,,,,2.0,,,
"Trucks, Vehicles, and Jeeps",Iveco Magirus 90-16 AW 4x4,,Italy,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Iveco VM90,,Italy,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Downgraded Mowag Eagle II,,Switzerland,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Unknown truck,,Ukraine,69,,,,4.0,,2.0,1.0,,,62.0,,,
"Trucks, Vehicles, and Jeeps",Unknown truck,with ZU-23 AA gun,Ukraine,1,,,,,,,,,,1.0,,,
"Trucks, Vehicles, and Jeeps",Unknown vehicle,,Ukraine,41,,,,,,,,,,41.0,,,
